source,pii_type,value,institutional,confidence,timestamp
dump1.csv,Email,john@gmail.com,False,0.95,2025-12-29T12:13:29.280769
dump1.csv,Phone,9876543210,False,0.9,2025-12-29T12:13:29.280799
dump1.csv,Name,John,False,0.8,2025-12-29T12:13:29.280816
dump1.csv,Name,Doe,False,0.8,2025-12-29T12:13:29.280825
dump2.csv,Email,student@spit.ac.in,True,0.95,2025-12-29T12:13:29.280955
dump2.csv,Name,Student,False,0.8,2025-12-29T12:13:29.280972
dump3.csv,Email,alice@yahoo.com,False,0.95,2025-12-29T12:13:29.281113
dump3.csv,Name,Alice,False,0.8,2025-12-29T12:13:29.281129
dump4.csv,Email,emp@bank.com,False,0.95,2025-12-29T12:13:29.281215
dump4.csv,Phone,9123456789,False,0.9,2025-12-29T12:13:29.281228
dump4.csv,Name,Employee,False,0.8,2025-12-29T12:13:29.281240
dump5.csv,Name,Learner,False,0.8,2025-12-29T12:13:29.281323
